,dataset_name,model_type,seed,performance,performance_type,n_labels,f1_upper,f1_lower,n_epoch,precision,recall,weighted_f1,accuracy,footnote,name,source,task
0,esgbert_action500,longformer,42,0.8585858585858586,f1_score,2.0,0.9575746321448784,0.7536333112761318,10.0,0.857487922705314,0.8603896103896104,0.8602828282828283,0.86,,esgbert_action500,\citet{schimanski_bridging_2023},Claim characteristics
1,green_claims,longformer,42,0.945109078114004,f1_score,2.0,0.9868131868131867,0.8867102396514162,8.0,0.935483870967742,0.96078431372549,0.9494397228387376,0.9487179487179488,,green_claims,\citet{vinicius_woloszyn_towards_2021},Claim detection
2,sustainable_signals_review,longformer,42,0.7323266986959506,f1_score,2.0,0.8325231488901655,0.6320061103440348,8.0,0.7396199859254047,0.7292929292929293,0.7407739823662953,0.7435897435897436,,sustainable_signals_review,\citet{linSUSTAINABLESIGNALSijcai2023},Climate Topic Classification
3,climate_sentiment,longformer,42,0.7989943227985993,f1_score,3.0,0.8442666882965617,0.7477128850778364,9.91304347826087,0.7876959001666775,0.8160504082792203,0.8097530811616028,0.809375,,climate_sentiment,\citet{bingler2023cheaptalkspecificitysentiment},Sentiment Analysis
4,climate_detection,longformer,42,0.958005249343832,f1_score,2.0,0.9797269901338018,0.9322493224932248,4.0,0.9481792717086834,0.96875,0.9728083989501312,0.9725,,climate_detection,\citet{bingler2023cheaptalkspecificitysentiment},Climate Topic Classification
5,esgbert_s,longformer,42,0.8831746031746032,f1_score,2.0,0.92645741606223,0.8374819181127318,6.0,0.8806704134885588,0.8935055503682954,0.8859492063492064,0.885,,esgbert_s,\citet{schimanski_bridging_2023},ESG topic classification
6,esgbert_category_nature,longformer,42,0.8981052631578947,f1_score,2.0,0.9359433851411312,0.8575104232946489,4.995983935742972,0.9163398692810458,0.8956521739130435,0.8987368421052633,0.9,,esgbert_category_nature,\citet{Schimanski2024nature},Climate Sub-thematic topic classification
7,esgbert_category_forest,longformer,42,0.9715584415584416,f1_score,2.0,0.9933814722531904,0.9375552275526734,6.0,0.9637931034482758,0.9798493657505284,0.9818905295617624,0.9817351598173516,,esgbert_category_forest,\citet{Schimanski2024nature},Climate Sub-thematic topic classification
8,netzero_reduction,longformer,42,0.9775786413183418,f1_score,3.0,0.9910674798851404,0.9599754129011172,6.997455470737913,0.9783508977669204,0.977254115531991,0.979597921652598,0.9796511627906976,,netzero_reduction,\citet{tobias_schimanski_climatebert-netzero_2023},Claim characteristics
9,climateEng,longformer,42,0.7049908168610556,f1_score,5.0,0.7771821562409227,0.6077586701840246,7.0,0.7020949085199782,0.7237590479695744,0.7949614703863381,0.7943661971830986,,climateEng,\citet{vaid-etal-2022-towards},Climate Sub-thematic topic classification
10,climateFEVER_evidence,longformer,42,0.5271878733154359,f1_score,3.0,0.5668288149999484,0.4854490286619472,8.998116760828625,0.513223547508864,0.5698494418718794,0.5892171335368686,0.5753246753246753,,climateFEVER_evidence,\citet{diggelmann_climate-fever_2020},Stance classification
11,contrarian_claims,longformer,42,0.7158075129457094,f1_score,18.0,0.7391791251278855,0.6845074299756143,6.999300209937019,0.6841256622257816,0.7727635163476481,0.8005790074571718,0.7908022130013831,,contrarian_claims,\citet{coanComputerassistedClassificationContrarian2021},Deceptive technics
12,ClimaTOPIC,longformer,42,0.5582431611715573,f1_score,12.0,0.5716588716527481,0.5442769853933114,9.99300209937019,0.513536035898734,0.669050576363594,0.6142002157264257,0.6019744222571236,,ClimaTOPIC,\citet{spokoyny2023answering},Climate Sub-thematic topic classification
13,climaQA,longformer,42,0.8953594011745047,f1_score,2.0,0.9018983642669496,0.8889666000963579,9.99300209937019,0.8953146560330538,0.8954628383054217,0.8953972340099438,0.8953874327572393,,climaQA,\citet{spokoyny2023answering},Question answering
14,climateBUG_data,longformer,42,0.904534423699246,f1_score,2.0,0.907748695116172,0.9009165036583454,7.0,0.9026977882707212,0.9089676288614272,0.9058978455507184,0.9055334978717317,,climateBUG_data,\citet{yu_climatebug_2024},Climate Topic Classification
15,climatext,longformer,42,0.8561293693326449,f1_score,2.0,0.8677281718349401,0.8452995028049687,4.0,0.8634438284745067,0.8571590776885833,0.8560676509624184,0.8566895822316235,,climatext,\citet{varini_climatext_2020},Climate Topic Classification
16,ClimaINS_ours,longformer,42,0.7755341651243827,f1_score,8.0,0.8137985450910538,0.729459558911735,9.993164730006836,0.7795082334556018,0.7759980557582331,0.7960163233766328,0.8,,ClimaINS_ours,\citet{spokoyny2023answering},Question answering
17,lobbymap_query,longformer,42,0.5730573212995336,f1_score,13.0,0.5924853639368276,0.550112045813336,20.0,0.5915121368224925,0.5613724866581267,0.6968905536282982,0.7139255309939093,,lobbymap_query,\citet{morio2023an},Stance classification
18,climaQA_before,longformer,42,0.4425892688456452,f1_score,2.0,0.4442037346645631,0.4409385827030908,7.0,0.3970046180570266,0.5,0.7028399345368163,0.7940092361140533,,,,
19,climaQA_before,tfidf + LogReg,42,0.4767188939300049,f1_score,2.0,0.4827640403071594,0.470704435494263,,0.5121095689187618,0.518402240452354,0.5788984652276318,0.534423590221582,,,,
20,climaQA_before,random,42,0.4547127420855754,f1_score,2.0,0.461155821090971,0.4487128046758032,,0.5018878137767196,0.5028855314969121,0.5489360174119873,0.5018006185654366,,,,
21,climaQA_before,majority,42,0.4425892688456452,f1_score,2.0,0.4441513788474672,0.4409647343015487,,0.3970046180570266,0.5,0.7028399345368163,0.7940092361140533,,,,
